survey	xray_objid	old_sdss_dr8objid	new_sdss_dr8objid	RA	DEC	z_spec	eBV	class	SOFT_FLUX	hard_flux	full_flux	SDSS_REJ	petroRad_u	petroRad_g	petroRad_r	petroRad_i	petroRad_z	petroR90_u	petroR90_g	petroR90_r	petroR90_i	petroR90_z	probPSF	extinction_u	extinction_g	extinction_r	extinction_i	extinction_z	sdss_u_mag	sdss_u_err	sdss_g_mag	sdss_g_err	sdss_r_mag	sdss_r_err	sdss_i_mag	sdss_i_err	sdss_z_mag	sdss_z_err	galex_objid	galex_nuv_mag	galex_nuv_err	galex_fuv_mag	galex_fuv_err	ukidss_objid	ukidss_y_mag	ukidss_y_err	ukidss_j_mag	ukidss_j_err	ukidss_h_mag	ukidss_h_err	ukidss_k_mag	ukidss_k_err	wise_sigra	wise_sigdec	wise_cntr	wise_w1_mag	wise_w1_err	wise_w2_mag	wise_w2_err	wise_w3_mag	wise_w3_err	wise_w4_mag	wise_w4_err	wise_w1_snr	wise_w1_cov	wise_w2_snr	wise_w2_cov	wise_w3_snr	wise_w3_cov	wise_w4_snr	wise_w4_cov
CSC	2101	1237663716017766436	1237667173466439705	7.881047	0.5722837	1.732518	0.100663	QSO	2.881461e-14	0.0	8.280303e-14	no	1.137838	1.149613	1.012807	0.9360791	1.0804	1.181976	1.231719	1.138114	1.095214	1.096901	1	0.1226659	0.09025639	0.06546146	0.04963744	0.03519357	18.923732328	0.01856937	18.9027152124	0.008663528	18.8382776487	0.009634122	18.5322103373	0.01074289	18.5239862194	0.02747646	2915168301576366262	20.3720295569	0.03042139	21.6827900875	0.06125413	433828002759	17.9460663734	0.024261	17.7222042163	0.027132	17.5240638099	0.024054	17.8377663868	0.0375	0.2355	0.2538	75100001241028893	18.7332831934	0.085	18.295807283	0.099	17.6	0.235	15.373	9999.0	18.8	12.181	18.8	12.5	9.0	12.687	3.8	12.687
CSC	4100	1237663785283944563	1237676326577897611	29.2095	0.8856979	1.653214	0.03651	QSO	3.873558e-14	9.064493e-14	1.411692e-13	no	1.820131	1.469681	1.401312	1.269324	1.326697	2.05233	1.657501	1.501382	1.42953	1.343005	1	0.1506639	0.1108571	0.08040278	0.06096699	0.04322636	19.1560754357	0.03728666	19.0352582774	0.01413734	18.6010137942	0.01149314	18.2841077437	0.01059733	18.2587025084	0.02529806	3784890795240197642	20.6773516753	0.03222191	23.0530688111	0.1524635	433827142360	21.0061235951	0.348366	-99.0	-99.0	-99.0	-99.0	19.7780416303	0.2695	0.1487	0.1498	287101501241000095	18.1132608151	0.03	18.1296762801	0.1	17.836	0.247	15.905	0.42	31.6	22.009	26.8	21.656	8.9	20.96	7.7	21.551
CSC	4827	1237657191978631380	1237672839063142576	359.2901	0.7741799	1.516575	0.026056	QSO	0.0	0.0	1.425723e-14	no	2.137321	1.828431	1.536478	1.610878	1.777527	1.989485	1.996049	1.512674	1.556348	1.587292	1	0.172596	0.1269945	0.09210698	0.06984194	0.0495188	19.9597028206	0.04683033	19.830218225	0.01518868	19.7308617575	0.01814964	19.5084829893	0.02417046	19.5313508516	0.08207683	2907603661577268242	21.1271644694	0.04899381	22.0788834607	0.08880401	433827232350	20.9740058305	0.426968	-99.0	-99.0	-99.0	-99.0	19.1939532609	0.341923	0.4854	0.5111	101501241005993	19.5410266305	0.149	19.1563570048	0.178	18.407	0.514	15.866	9999.0	10.5	11.793	7.5	11.766	7.3	11.937	1.0	11.802
CSC	4963	1237666338116600080	1237666338116600080	19.69863	-1.020518	0.691351	0.072987	QSO	9.885009e-15	0.0	2.496484e-14	no	2.95228	1.699775	1.009925	3.968589	1.799102	1.452991	1.543205	0.9581127	1.27435	1.604137	1	0.1839203	0.1353268	0.09815027	0.07442438	0.05276781	21.2578265988	0.08966859	20.7742875344	0.02920856	20.7550862741	0.03015473	20.6601094497	0.04369702	20.5678146726	0.1527053	6473293482175759921	21.9281590149	0.1535916	22.6164856192	0.2112295	433837805645	20.1955561073	0.179865	20.0147777782	0.191248	20.0246119075	0.218346	20.6439740947	0.343575	0.2462	0.254	196001601241030725	18.4074220473	0.062	19.0577084865	0.259	17.63	9999.0	15.663	9999.0	23.4	12.873	10.9	11.878	2.3	12.883	0.4	12.604
CSC	4963	1237666338116600198	1237666724636721445	19.76245	-0.9427665	1.632783	0.065509	QSO	3.338577e-15	0.0	8.25195e-15	no	2.029554	1.75609	2.148983	1.810729	3.769766	1.749512	2.707685	2.064146	1.826289	3.076918	1	0.1901009	0.1398745	0.1014486	0.07692542	0.05454108	21.0427800002	0.09885268	20.8278040776	0.04135107	20.5256958543	0.04326952	20.1903896584	0.04755897	20.2417913212	0.1780832	3784433398403045203	20.9064194308	0.03759823	21.9708684968	0.06545263	433837805437	19.8578880388	0.133213	20.143013647	0.191947	19.9489049021	0.222866	20.1404157176	0.23855	0.5032	0.5361	196001601241030891	19.7386378588	0.288	19.2169003189	0.228	17.588	9999.0	15.679	9999.0	9.1	11.864	10.1	11.836	3.3	11.96	0.3	11.948
CSC	4987	1237663784213151849	1237676325507170450	36.03435	0.05041157	1.607238	0.08051	QSO	1.038747e-14	0.0	2.491601e-14	no	7.359953	1.270388	4.088275	1.195294	1.32087	3.62817	1.518186	3.815297	1.73146	4.350614	1	0.2071878	0.1524468	0.1105671	0.08383972	0.05944341	20.6963412109	0.1275718	20.5066123453	0.04104826	20.2300526417	0.03524803	19.9236876698	0.0307906	19.8788971895	0.133631	3780070536264024953	21.5690073273	0.09764906	22.0800070208	0.1769879	433832452696	18.7605820516	0.109929	18.43288035	0.12281	18.1222207562	0.13065	17.9737889831	0.106865	0.3601	0.3871	363100001241022392	19.7502344916	0.168	19.0964306592	0.166	18.132	9999.0	16.222	9999.0	12.2	23.644	13.5	23.669	7.3	23.953	-0.5	23.948
CSC	4987	1237663784213151976	1237676325507170448	36.01854	0.08517382	0.801952	0.037234	QSO	1.680749e-14	1.548035e-14	4.418744e-14	no	2.081875	1.298674	1.310117	1.083001	1.285769	1.657252	1.145024	1.103701	1.733494	0.9869776	1	0.2085258	0.1534313	0.1112812	0.08438116	0.05982729	21.0637306522	0.1865585	20.6944688729	0.05077255	20.4824722111	0.04625442	20.4137015069	0.04910216	20.064892014	0.115709	3780070536261928005	21.423486497	0.08185931	-99.0	-99.0	433830778228	20.8927363713	0.277116	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	0.2698	0.2805	363100001241022288	19.1242812113	0.075	19.0874721878	0.138	18.539	9999.0	17.316	9999.0	19.7	22.833	13.8	22.823	5.0	22.977	-1.0	22.595
CSC	5650	1237645943978656211	1237676326589563155	55.74847	1.022204	0.649932	0.029134	QSO	0.0	0.0	3.259972e-14	no	2.9698	3.175219	2.10281	2.083323	2.327416	1.006133	2.889102	2.353418	2.331618	2.564124	0	0.9218001	0.6782517	0.4919247	0.3730116	0.2644699	22.4798553228	0.3429526	22.0801651174	0.1199012	21.5172065822	0.09746613	20.8805665608	0.07433022	20.5338435459	0.1505442	3781161251796684848	24.7219929242	0.4690341	-99.0	-99.0	433826385169	19.1917470264	0.059179	19.0606380483	0.072662	18.9018060539	0.113558	19.0454840128	0.161228	0.2577	0.2741	559101501241005101	18.9761870064	0.114	18.9766106724	0.184	17.435	9999.0	15.687	9999.0	19.9	13.867	13.8	13.828	8.3	11.964	2.2	11.758
CSC	5654	1237666300019015711	1237666725187223601	50.95645	-0.497187	1.62753	0.018474	QSO	6.422608e-14	5.891002e-14	1.755783e-13	no	2.293262	2.102396	1.996537	1.945635	1.911067	2.36595	2.221546	2.122157	2.081833	2.331602	1	0.4373095	0.3217682	0.2333731	0.1769598	0.1254667	18.3482829399	0.01376415	18.1633059457	0.005850875	17.986792162	0.006568993	17.6950928991	0.00701928	17.6109634151	0.01744274	3786861120077177471	19.9111744384	0.01815253	20.8098689922	0.04248475	433836417468	19.9671916789	0.10836	19.5411857411	0.107732	19.7497429565	0.444007	19.5542895577	0.295881	0.162	0.1721	514100001241006267	18.2862697789	0.046	17.9575731368	0.064	17.107	0.208	15.179	9999.0	27.7	11.96	24.1	11.881	11.9	11.881	3.9	11.789
CSC	6802	1237663204923277440	1237666726784663710	20.84345	0.8214277	2.180215	0.027782	QSO	1.389888e-14	0.0	3.263353e-14	no	2.146444	2.145679	1.888085	1.68333	1.967614	2.437354	2.357706	1.959192	1.57083	2.163259	1	0.1592667	0.1171869	0.08499373	0.06444818	0.04569456	20.3663615835	0.05617179	19.9525454045	0.01918298	19.9054087831	0.02476676	19.7964014369	0.0320766	19.5167052945	0.0806592	2913268345481468906	21.5411139783	0.07295736	-99.0	-99.0	433827203477	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	18.6381824078	0.092736	0.3753	0.3956	211101501241005217	19.4675612039	0.154	18.9269432923	0.144	18.086	0.323	16.055	9999.0	13.2	15.729	11.8	15.812	5.6	14.956	-1.1	14.922
CSC	6802	1237663784743469306	1237676326037487742	21.00777	0.5841798	1.857598	0.024677	QSO	2.179091e-14	0.0	7.146512e-14	no	1.82086	1.061207	1.168319	1.060749	1.308756	1.791004	1.010449	1.03413	1.284469	0.8897099	1	0.1579698	0.1162327	0.08430165	0.06392339	0.04532248	20.873767143	0.1438579	21.0092651872	0.07381159	20.950607631	0.07167501	20.4286012334	0.05519728	20.608860755	0.1525094	2913268345481465760	23.4745925319	0.3346435	-99.0	-99.0	433828152325	20.3173298793	0.245034	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	0.417	0.4377	211100001241036104	19.5195159193	0.142	19.2839030394	0.166	18.039	9999.0	15.881	9999.0	12.4	20.069	10.1	20.353	2.8	18.427	2.8	19.535
CSC	7241	1237663783143538802	1237678882114240713	45.43744	-0.734903	0.383317	0.041112	QSO	6.007313e-15	0.0	2.956603e-14	no	1.853636	1.907977	1.727717	1.885435	3.034967	2.039988	1.961625	1.838357	1.860093	2.763265	1	0.5928856	0.4362396	0.3163973	0.2399145	0.1701024	20.724531607	0.06417039	20.3233187934	0.01818983	20.0134071554	0.0226985	19.671620102	0.02830723	19.3001151647	0.06708542	3785453745193617153	21.8033351104	0.06171542	21.8722974848	0.1132523	433836901694	21.280229236	0.422666	-99.0	-99.0	20.6385167947	0.430744	20.126534232	0.466371	0.1667	0.1725	453100001241002837	18.517702116	0.064	18.1464018809	0.063	17.832	0.232	15.586	9999.0	27.7	19.819	24.0	19.82	11.0	18.992	3.5	18.762
CSC	7747	1237663783132463243	1237663783132463243	20.13795	-0.7171302	1.721318	0.023254	QSO	1.007374e-13	1.047039e-13	2.76714e-13	no	1.197892	1.276726	0.9023653	0.8447807	0.9631807	1.207647	1.255993	1.075387	1.009977	1.059836	1	0.1952065	0.1436311	0.1041733	0.07899143	0.05600591	19.4448679311	0.02363633	19.3873524539	0.01077015	19.3215137177	0.01218203	18.9951032716	0.01227415	18.9330089593	0.03121028	6473293482175761945	21.0541300504	0.07532135	22.1466616363	0.1517726	433836980008	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	19.0332822677	0.126874	0.2669	0.2783	196100001241000196	19.0878161339	0.098	18.6690587856	0.139	17.709	9999.0	15.955	9999.0	18.5	16.83	16.3	16.786	3.6	16.798	-0.3	16.653
CSC	7750	1237663783136460894	1237663783136460894	29.2214	-0.7729145	0.614712	0.064594	QSO	4.584014e-14	0.0	1.110805e-13	no	1.350472	1.269474	1.133733	1.085586	1.462209	1.316076	1.346987	1.352694	1.377313	1.603914	1	0.1465567	0.107835	0.07821095	0.05930499	0.04204798	19.8418077426	0.03211293	19.510899032	0.01168405	19.5910933224	0.01450453	19.4064453166	0.01607858	19.3971547125	0.04726259	3779331664651486527	19.7671932702	0.01919475	20.4740327474	0.03926791	433837197404	-99.0	-99.0	-99.0	-99.0	20.3764825456	0.3088	-99.0	-99.0	0.1509	0.1565	287001601241032072	18.2581174017	0.049	18.2335488016	0.058	18.521	0.375	15.96	9999.0	30.7	22.658	24.6	23.892	6.2	23.487	3.4	23.678
CSC	7823	1237663782596182350	1237678882103755331	21.48091	-1.188394	1.02163	0.029845	QSO	2.379309e-14	2.399601e-14	6.110448e-14	no	1.871463	3.125039	1.48821	1.626787	1.98025	2.549599	2.324145	1.422503	1.622246	1.636992	1	0.1797054	0.1322255	0.09590097	0.0727188	0.05155854	22.0482871884	0.2451492	21.2261793443	0.04658489	20.705427541	0.04515228	20.5616012966	0.06621799	20.2216999255	0.1664199	2916329385853199529	23.3199793494	0.2184515	-99.0	-99.0	433838541033	-99.0	-99.0	-99.0	-99.0	19.1993593155	0.19151	-99.0	-99.0	0.3535	0.3662	211001601241027998	19.3572748733	0.111	19.1925776652	0.211	18.41	9999.0	15.549	9999.0	15.8	16.346	10.6	16.724	0.9	15.242	2.1	15.323
CSC	8604	1237663784193687828	1237663277387219164	351.6089	0.15613	1.033302	0.032503	QSO	2.303614e-14	0.0	5.932792e-14	no	1.272378	1.08061	0.9335466	0.9274251	3.60035	1.243923	1.129341	1.030461	1.254581	1.006348	1	0.1698796	0.1249958	0.09065739	0.06874276	0.04873947	20.2278895333	0.04304005	20.1246193075	0.01570094	19.9008345152	0.01714171	20.0057619139	0.02475933	20.1655710929	0.1165892	2417063145913724528	-99.0	-99.0	21.1693667011	0.07291598	433830866850	18.6406377004	0.051468	18.6845564043	0.085072	18.644137606	0.106555	18.9974335608	0.161795	0.3016	0.3228	3509100001241014297	19.1379317804	0.191	18.6322726937	0.19	17.945	9999.0	15.841	9999.0	15.7	13.85	15.7	13.795	1.3	13.768	-0.3	13.861
CSC	8605	1237657190902333723	1237666661301879064	353.3708	-0.05229684	0.917535	0.02401	QSO	2.537369e-14	0.0	5.510883e-14	no	2.058061	1.726385	1.318	1.382836	1.318159	2.008256	1.856511	1.420401	1.444892	1.128343	1	0.2037436	0.1499126	0.1087291	0.082446	0.05845524	20.8653781288	0.0730161	20.6571075228	0.02606203	20.412149266	0.03032537	20.3743251709	0.04234051	20.5505353044	0.2074543	2911825786227918054	21.1795800803	0.04192104	21.8652898747	0.0805748	433832596571	17.9010929485	0.017793	17.6851663842	0.017913	17.5599745782	0.037377	17.844268457	0.055068	0.3782	0.3985	3539100001241019624	19.2571142285	0.151	18.9963237587	0.171	18.29	0.521	15.574	9999.0	14.3	12.895	9.8	12.863	4.1	13.007	1.0	12.99
CSC	8608	1237657190901547236	1237666661301158061	351.637	-0.05733569	1.277711	0.030517	QSO	0.0	0.0	3.059049e-14	no	1.565979	1.501903	1.24824	1.251643	1.093606	1.486249	1.643042	1.396465	1.264895	0.8837852	1	0.1968188	0.1448174	0.1050336	0.07964382	0.05646846	20.8519609664	0.06744002	20.8413245761	0.02893048	20.3873362033	0.0290866	20.3974880985	0.04336019	20.5164324252	0.1889711	3784222292170516627	21.989924464	0.07102168	22.6687610537	0.1288596	433832603606	19.4386961914	0.117331	18.9505121752	0.09282	18.2209181409	0.107328	18.4959248629	0.154826	0.5536	0.5668	3509100001241014481	19.5548724314	0.158	19.3061088279	0.268	17.859	9999.0	15.935	9999.0	10.6	11.323	6.8	11.544	1.4	11.348	0.3	10.964
CSC	8610	1237663784193949967	1237663277387415840	352.0735	0.2021707	0.74803	0.08036	-999	0.0	0.0	3.526956e-14	no	6.040822	1.266398	1.45011	2.557848	1.824108	1.666102	1.716632	2.007568	2.290222	1.83607	0	0.213735	0.1572642	0.1140611	0.08648908	0.06132184	21.0362268089	0.07346058	20.7798335694	0.02463991	20.5404164985	0.02851688	20.4153694859	0.03879905	19.7384755771	0.09290391	2417027961542676303	21.5551626188	0.05808153	22.4924176528	0.1062825	433830677598	-99.0	-99.0	20.7357694403	0.209252	20.6249848555	0.554252	-99.0	-99.0	0.3525	0.3586	3524100001241023002	19.0264631038	0.088	19.26063387	0.222	18.126	9999.0	15.805	9999.0	16.7	13.833	8.9	13.84	2.5	13.663	0.2	13.178
CSC	8610	1237666408438956055	1237663204373823527	352.0849	0.3772981	1.307334	0.024539	QSO	4.293587e-14	0.0	1.00438e-13	no	1.475591	1.377774	1.393646	1.148745	1.223649	1.653653	1.538586	1.682991	1.625232	1.670194	1	0.2092652	0.1539754	0.1116758	0.08468035	0.06003942	18.3357603255	0.01496083	18.1311022037	0.005968242	17.8701635426	0.006324592	17.8199767783	0.007361388	17.8820670433	0.02172649	2417027961542678547	19.245414956	0.01480303	20.8491976291	0.04443537	433828906550	-99.0	-99.0	19.6587886058	0.091794	-99.0	-99.0	-99.0	-99.0	0.1115	0.1131	3524100001241022833	17.5773070293	0.034	16.9524951371	0.029	16.285	0.07	14.813	0.187	33.8	11.889	37.2	11.819	23.2	11.575	9.7	11.557
CSC	8610	1237666408438956134	1237663204373823699	352.083	0.2389295	1.597098	0.072243	QSO	0.0	0.0	3.719863e-14	no	1.381911	1.344326	1.592677	1.150468	1.682213	1.137192	1.673979	2.073618	1.540438	1.586145	1	0.2142147	0.1576172	0.1143171	0.0866832	0.06145947	20.9052753216	0.07572295	20.4509806518	0.02103994	20.2514014563	0.02618868	19.9949286105	0.02780441	19.8827256184	0.1085765	2417027961540579610	22.3371763391	0.132177	-99.0	-99.0	433830677700	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	20.5979797075	0.46903	0.3699	0.3844	3524100001241023024	19.4064798537	0.121	19.0466487589	0.139	17.848	9999.0	16.108	9999.0	14.1	13.842	11.4	13.9	3.3	12.997	-0.1	13.319
CSC	8612	1237663784193622313	1237663277387153647	351.4373	0.05745274	0.3076	0.037969	NELG	0.0	0.0	3.123858e-14	no	3.347276	1.598906	1.971303	2.040989	2.460405	3.038583	1.910146	2.62095	2.088088	2.424826	0	0.1950067	0.1434841	0.1040666	0.07891058	0.05594859	21.4556777814	0.15121	21.0557845509	0.04479829	20.0949241856	0.02988035	19.7464269946	0.03366515	19.1726789608	0.08979997	2417063145914762856	22.695369439	0.1498789	22.8381221073	0.1680553	433832573857	21.1046704973	0.378814	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	0.5556	0.5607	3509100001241014422	19.4028091573	0.123	19.6200525843	0.261	18.14	9999.0	15.988	9999.0	11.6	12.157	4.2	12.675	-0.5	12.546	-1.1	12.178
CSC	8613	1237663784193949865	1237663277387481179	352.1902	0.08366728	1.524531	0.029335	QSO	2.643875e-14	0.0	7.087127e-14	no	1.175836	1.067813	1.277605	0.9753593	0.9582505	1.1686	1.300721	1.480916	1.3069	1.058398	1	0.2491872	0.1833495	0.1329804	0.100835	0.07149327	20.1017079162	0.03872614	19.7675284791	0.01312522	19.9109529354	0.01871479	19.1438795756	0.01542	19.1285172237	0.05381716	2417027961540577778	21.2720238755	0.04722914	-99.0	-99.0	433830895929	20.427088448	0.208663	20.8421633115	0.287874	-99.0	-99.0	-99.0	-99.0	0.3109	0.3187	3524100001241018786	18.963701008	0.097	18.5297342293	0.104	17.916	0.351	15.728	9999.0	15.7	10.855	15.0	10.807	6.5	10.923	0.9	10.669
CSC	8615	1237666408438628562	1237663204373561417	351.4009	0.3194052	1.202497	0.037048	QSO	1.704917e-14	0.0	3.81554e-14	no	1.854193	1.334474	1.335988	1.380931	1.626707	1.94505	1.440541	1.540213	1.35402	1.712504	1	0.1826474	0.1343902	0.09747097	0.07390928	0.0524026	20.0955025967	0.04587873	20.0166326809	0.01620289	19.5618358766	0.01584782	19.6467872074	0.02350993	19.6619161389	0.08504247	2417063145914765665	21.3821012757	0.05821414	23.3695481544	0.2419875	433829078460	18.2784870808	0.033925	18.2232582616	0.03895	18.0081791847	0.039317	18.3145352016	0.077684	0.2656	0.2771	3509100001241027737	18.8413776008	0.105	18.4486689785	0.084	18.523	0.538	15.551	9999.0	18.9	12.941	15.9	12.833	4.0	12.784	1.0	12.811
CSC	8615	1237666408438693987	1237663204373561448	351.4438	0.2971108	0.513847	0.037163	QSO	6.031846e-14	7.922368e-14	1.71515e-13	no	1.794202	1.420678	1.318519	1.447837	3.727114	1.901522	1.612075	1.483789	1.714079	1.620313	1	0.1773572	0.1304978	0.09464787	0.07176861	0.05088484	20.3578374603	0.05675448	19.9412961319	0.01565306	20.0196052923	0.02194923	19.6504323593	0.02412256	19.7485523061	0.09648193	2417063145914765471	20.4559213924	0.0325843	20.9843399046	0.05610696	433829078566	15.5040743199	0.003999	15.5382659458	0.004005	15.6473360255	0.004816	16.1322857598	0.009542	0.2033	0.2106	3509100001241027689	18.3161928799	0.046	18.0915047822	0.078	17.809	0.261	15.98	9999.0	23.4	13.731	20.8	13.862	4.3	13.745	0.9	13.735
CSC	8616	1237663784194081032	1237663277387612401	352.4643	0.1615671	0.884435	0.025551	QSO	3.258497e-14	0.0	8.592342e-14	no	4.151519	1.131971	1.0449	5.083761	3.136218	1.155394	1.207477	1.151532	1.294842	1.470981	1	0.2465243	0.1813902	0.1315593	0.09975743	0.07072926	20.6056001895	0.0490481	20.3015038099	0.01676272	20.0262796669	0.01861382	19.9900562469	0.02336158	19.845560853	0.08177192	2417027961542675844	21.2104339344	0.0459137	21.9053113728	0.08846212	433830871619	15.633362886	0.005249	15.3910240839	0.004826	15.1797313279	0.0047	15.458426052	0.005613	0.2742	0.2776	3524100001241024389	18.791608026	0.101	18.7626515787	0.154	17.599	9999.0	15.796	9999.0	20.2	10.941	13.3	10.874	3.7	10.982	0.2	10.861
CSC	9719	1237663784194343151	1237667172923080916	353.0069	0.1709952	0.506352	0.055585	QSO	2.303276e-14	0.0	5.183493e-14	no	3.807746	1.510612	2.294364	1.901619	2.942352	3.517688	2.710678	2.871804	2.399815	2.638605	0	0.1920432	0.1413036	0.1024851	0.07771137	0.05509833	21.2481040636	0.09054806	20.507557451	0.02141535	20.1065762157	0.0235353	19.6190639519	0.02287577	19.2983473672	0.07432636	2911825786227920522	22.2927673168	0.09191752	23.0621109501	0.1620009	433830660723	-99.0	-99.0	-99.0	-99.0	14.3064226808	0.00745	14.2228213583	0.008187	0.2766	0.2799	3524100001241027176	18.8747056791	0.115	18.8779606037	0.133	17.795	9999.0	15.589	9999.0	20.1	11.841	13.1	11.817	3.5	11.907	1.2	11.712
XMM	41170101	1237663784217280840	1237676325511299389	45.42543	0.1150441	0.606524	0.022764	QSO	1.65453e-14	0.0	4.730353e-14	no	1.431755	1.362344	1.198816	1.665031	1.679176	1.301394	1.284583	1.271388	1.774521	1.853135	0	0.5323119	0.39167	0.2840718	0.215403	0.1527234	21.1775170206	0.122744	20.830692225	0.0399838	20.6962735575	0.03736187	20.2104467893	0.03101755	20.1491770516	0.09645718	3780563117473269716	21.9169116694	0.05905771	22.5063476607	0.1238393	433830809836	20.5339794105	0.227428	20.2959492782	0.13897	-99.0	-99.0	-99.0	-99.0	0.2963	0.3099	453100001241017819	19.2545870305	0.179	19.0375218048	0.182	18.56	0.506	16.086	9999.0	18.3	14.901	12.7	14.868	3.3	14.886	1.6	14.797
XMM	42341301	1237663277925269744	1237667173460541688	354.3469	0.4390182	0.267978	0.026197	GALAXY	0.0	0.0	1.63093e-14	no	6.309158	4.416077	4.588485	4.106416	4.723943	6.632827	4.613762	4.542246	4.102839	4.348225	0	0.1911182	0.1406229	0.1019915	0.07733704	0.05483292	20.0729863333	0.06776717	19.2775553075	0.01723433	18.3036017152	0.01206122	17.8820071139	0.01451675	17.4499558929	0.03358432	2907709214693530699	20.9211981897	0.04405234	21.1181835011	0.05247445	433828889845	-99.0	-99.0	-99.0	-99.0	19.356498966	0.206568	18.9911467608	0.202738	0.1761	0.1725	3539100001241025122	17.9376733804	0.035	18.1949318937	0.096	17.742	0.354	15.413	9999.0	30.5	11.931	18.3	11.909	4.6	11.915	0.7	11.685
XMM	42341301	1237666408440070473	1237666661839339834	354.6181	0.3707142	0.792705	0.115684	QSO	3.013788e-14	0.0	7.990798e-14	no	1.61983	1.719058	1.495631	1.327166	4.463815	1.388689	2.002093	1.589421	1.306097	2.684394	1	0.1960211	0.1442305	0.104608	0.07932106	0.05623962	21.1228516448	0.09202344	20.7066639243	0.02636771	20.405848747	0.03306361	20.3758634881	0.04566448	20.1333028068	0.1527501	2907709214693529804	21.3115141249	0.0520375	22.0405843606	0.08844906	433828863771	-99.0	-99.0	-99.0	-99.0	21.1236286995	0.571831	20.6698591554	0.418782	0.5937	0.6053	3539100001241027034	19.7548445777	0.224	19.2660840691	0.202	18.358	9999.0	15.613	9999.0	8.9	10.926	8.1	11.083	0.4	10.977	0.5	10.987
XMM	66950301	1237666408437908138	1237666661837177432	349.7342	0.3747388	0.260941	0.026411	QSO	1.999858e-14	0.0	5.876552e-14	no	2.970106	2.218868	2.027859	1.856716	1.661246	3.401176	2.323769	2.386639	2.016621	1.675684	0	0.2323523	0.1709626	0.1239964	0.09402268	0.06666326	23.4277913088	0.7143764	21.4439215306	0.05291857	20.1592190714	0.03142611	19.5840551567	0.02871245	19.2108344165	0.09263816	3784081554680056062	24.1082899034	0.6484594	-99.0	-99.0	433829071660	-99.0	-99.0	-99.0	-99.0	20.2324423044	0.344094	-99.0	-99.0	0.2341	0.239	3494100001241026893	18.5311131744	0.076	18.4332117106	0.096	17.902	9999.0	16.055	9999.0	22.9	10.897	16.2	10.832	1.1	10.885	-0.5	10.894
XMM	90070201	1237663716555882612	1237663278469284010	10.69612	1.005934	1.110085	0.027828	QSO	3.578967e-14	4.056911e-14	9.649159e-14	no	1.347164	1.450486	1.291801	1.406273	1.514342	1.449379	1.545259	1.379112	1.514051	1.46538	1	0.1009887	0.07430653	0.05389329	0.04086565	0.02897426	18.8849920161	0.01997073	18.7820984403	0.008037465	18.5971639082	0.008590777	18.6698096464	0.01193295	18.735531663	0.03729971	2417379805263563082	19.25162476	0.02401119	20.1817172343	0.04600927	433826397213	20.2019440186	0.176632	20.056365898	0.178824	19.9155432723	0.292226	-99.0	-99.0	0.181	0.1894	105101501241002603	18.3285262786	0.059	17.6281344698	0.049	17.635	0.484	15.195	9999.0	25.8	13.363	23.6	13.852	3.6	2.969	-1.8	4.297
XMM	90070201	1237663716555882788	1237676326569836749	10.73039	0.9396966	1.583077	0.047932	QSO	1.509204e-14	2.639753e-14	4.574749e-14	no	2.832086	1.281786	1.38673	1.260243	2.542905	2.372934	1.415594	1.776886	0.9489269	2.283306	1	0.09909043	0.07290979	0.05288026	0.0400975	0.02842963	20.5702254486	0.1328627	20.271793253	0.0449826	20.1774332771	0.04331075	19.8214299584	0.0394622	20.0519866352	0.125471	2915097932832190238	21.4986387126	0.1009561	22.7347065476	0.2086301	433827499167	20.4077380816	0.249305	19.9284485339	0.185674	19.5597104304	0.264957	-99.0	-99.0	0.4803	0.5089	105101501241002785	19.6604599956	0.242	18.9110755517	0.186	17.666	9999.0	15.425	9999.0	11.7	12.802	7.5	12.927	-1.3	4.481	-1.9	4.227
XMM	90070201	1237663716555882937	1237663278469349689	10.72604	0.9878781	1.22254	0.027375	QSO	1.668587e-14	3.058301e-14	5.066998e-14	no	3.405283	1.826601	1.41217	1.743236	1.967521	2.113245	2.013442	1.665509	2.039638	1.849404	1	0.1015433	0.07471462	0.05418927	0.04109009	0.02913338	20.2945143137	0.04984273	20.3802334704	0.02142266	20.0149424293	0.02155521	20.0196236165	0.03325102	20.1303704475	0.1271726	2417379805263562845	20.7968236745	0.05357268	22.3079133243	0.1343017	433826397180	19.9506943038	0.160677	20.267871541	0.215396	-99.0	-99.0	19.1627412877	0.216409	0.463	0.4953	105101501241002846	19.4935456438	0.134	19.3471516834	0.294	17.518	9999.0	15.044	9999.0	11.8	13.981	8.9	14.378	0.4	4.257	0.6	3.663
